Bairros,Alto Branco,Alto da Serra,Araxá,Bairro das Nações,Conceição,Cuités,Distrito de Jenipapo (dividido entre Campina Grande Lagoa Seca e Puxinanã),Jardim Continental,Jardim Menezes,Jardim Tavares,Jeremias,Juracy Palhano (saída para Lagoa Seca),Lauritzen,Louzeiro,Monte Santo,Novo Bodocongó,Palmeira,Belo Monte,Castelo Branco,Distrito de Santa Terezinha,Glória,Jardim América,Jardim Atalaia,Jardim Europa,José Pinheiro,Mirante,Monte Castelo,Nova Brasília,Santa Terezinha,Santo Antônio,Vila Cabral,Acácio Figueiredo (ou Catingueira),Bairro das Cidades,Catolé,Catolé de Zé Ferreira,Conjunto Cinza,Conjunto Irmãos Alexandrino,Conjunto Pedro Gondim,Conjunto Ronaldo Cunha Lima,Colinas do Sol,Cruzeiro,Distrito Industrial,Distrito dos MecÃ¢nicos,Estação Velha,Itararé,Jardim Borborema,Jardim Paulistano,Jardim VitÃ³ria,Liberdade,Ligeiro (entre Campina Grande e Queimadas),Novo Cruzeiro,Novo Horizonte,Palmeira Imperial,Portal Sudoeste,Presidente Médici,Quarenta,Ressurreição ,Rocha Cavalcante,Rosa Cruz,Sandra Cavalcante,São José,Serra da Borborema,Tambor,Três Irmãs,Velame,Bela Vista,Bodocongó,Centenário,Conjunto Chico Mendes,Conjunto Mariz,Conjunto Severino Cabral,Dinamérica,Jardim Verdejante,Loteamento Alameda,Loteamento Grande Campina,Loteamento João Paulo II,Loteamento Parque dos Bosques,Malvinas,Mutirão do Serrotão,Novo Bodocongó,Pedregal,Prata,Ramadinha,Santa Cruz,Santa Rosa,São Januário,Serrotão,Sítio Lucas,Sítio Estreito,Universitário
Jardim Paulistano,R$11-15,R$6-8,R$11-15,R$13-16,R$8-10,R$11-15,R$12-16,R$12-15,R$16-21,R$10-13,R$15-20,R$11-14,R$14-19,R$10-13,R$10-14,R$22-27,R$15-19,R$12-16,R$10-14,R$12-16,R$6-9,R$10-13,R$12-16,R$8-11,R$8-11,R$8-10,R$9-13,R$10-14,R$12-16,R$9-13,R$8-11,R$6-9,R$8-11,R$10-13,R$8-11,R$12-16,R$22-28,R$10-13,R$10-13,R$6-8,R$7-10,R$8-11,R$12-16,R$8-11,R$6-8,R$11-15,,R$10-13,R$8-11,R$6-9,R$7-10,R$8-10,R$8-11,R$8-10,R$8-11,R$8-11,R$9-12,R$10-14,R$14-18,R$8-11,R$6-9,R$9-13,R$12-15,R$11-15,R$7-10,R$12-16,R$13-17,R$8-11,R$8-10,R$8-10,R$14-18,R$12-16,R$9-12,R$6-9,R$6-9,R$6-9,R$6-9,R$9-12,R$17-22,R$12-16,R$7-9,R$7-9,R$19-24,R$9-12,R$9-12,R$14-18,R$14-18,R$15-19,R$6-9,R$19-24
Jardim Vitória,R$6-9,R$6-9,R$6-9,R$7-10,R$6-8,R$8-10,R$10-14,R$8-11,R$20-25,R$6-8,R$10-14,R$9-13,R$8-11,R$6-9,R$9-12,R$20-26,R$12-16,R$7-9,R$6-8,R$8-10,R$6-9,R$7-10,R$9-12,R$6-8,R$6-8,R$6-8,R$6-8,R$7-9,R$8-10,R$6-8,R$6-8,R$11-14,R$15-20,R$8-11,R$10-14,R$10-14,R$43-54,R$10-13,R$21-27,R$7-9,R$10-13,R$11-15,R$10-14,R$7-10,R$6-9,R$9-13,R$13-17,,R$9-12,R$6-8,R$10-13,R$13-17,R$6-9,R$7-9,R$15-19,R$10-13,R$8-11,R$12-16,R$16-20,R$7-10,R$6-9,R$8-11,R$13-17,R$22-28,R$13-16,R$11-15,R$16-21,R$9-12,R$7-9,R$7-9,R$18-23,R$16-21,R$16-21,R$6-9,R$6-8,R$6-8,R$6-8,R$12-16,R$18-24,R$11-15,R$8-11,R$6-9,R$20-25,R$13-17,R$11-15,R$15-19,R$15-19,R$9-12,R$6-9,R$14-18
Liberdade,R$8-11,R$6-8,R$10-13,R$10-14,R$6-9,R$8-11,R$10-14,R$10-13,R$13-17,R$8-11,R$12-15,R$9-13,R$10-14,R$7-10,R$9-12,R$19-24,R$12-16,R$9-12,R$8-11,R$12-15,R$6-8,R$8-11,R$10-13,R$6-9,R$6-9,R$6-9,R$7-10,R$8-11,R$12-15,R$7-10,R$8-10,R$6-9,R$10-13,R$8-11,R$8-11,R$10-14,R$25-31,R$9-12,R$10-14,R$6-8,R$7-10,R$9-12,R$10-14,R$7-10,R$6-9,R$9-12,R$10-13,R$8-11,,R$6-8,R$7-10,R$8-10,R$6-9,R$7-9,R$9-13,R$8-11,R$8-11,R$10-14,R$21-26,R$8-11,R$6-8,R$8-10,R$12-15,R$13-17,R$8-11,R$10-13,R$11-14,R$7-10,R$7-9,R$7-9,R$11-14,R$10-14,R$9-13,R$6-8,R$6-8,R$6-8,R$6-8,R$8-11,R$15-20,R$11-14,R$6-9,R$6-8,R$16-21,R$9-12,R$8-11,R$12-16,R$12-16,R$13-17,R$6-8,R$16-21
Ligeiro (entre Campina Grande e Queimadas),R$6-9,R$6-8,R$6-9,R$10-13,R$6-8,R$6-9,R$10-14,R$7-10,R$12-16,R$6-9,R$9-12,R$9-13,R$9-13,R$6-8,R$7-10,R$14-19,R$10-14,R$9-12,R$7-9,R$11-15,R$6-8,R$8-11,R$8-11,R$6-9,R$6-9,R$7-9,R$6-9,R$8-11,R$11-15,R$6-9,R$7-10,R$8-11,R$12-16,R$8-11,R$8-11,R$10-14,R$31-39,R$9-12,R$14-18,R$6-8,R$8-11,R$9-13,R$10-14,R$7-10,R$7-10,R$8-11,R$11-15,R$8-11,R$8-11,,R$8-11,R$9-12,R$6-8,R$7-9,R$11-14,R$8-11,R$8-11,R$10-14,R$10-14,R$8-11,R$6-8,R$7-9,R$12-15,R$14-18,R$10-14,R$9-12,R$10-13,R$7-10,R$7-9,R$7-9,R$11-14,R$10-14,R$10-13,R$6-8,R$6-8,R$6-9,R$6-8,R$8-10,R$12-16,R$8-11,R$6-8,R$6-8,R$12-16,R$10-14,R$9-12,R$9-12,R$9-13,R$8-11,R$6-8,R$12-15
Novo Cruzeiro,R$10-14,R$6-8,R$11-14,R$12-16,R$7-10,R$10-13,R$10-14,R$11-14,R$12-16,R$10-13,R$12-15,R$9-13,R$12-16,R$8-11,R$9-12,R$19-24,R$13-17,R$12-16,R$10-14,R$13-17,R$6-8,R$10-13,R$10-13,R$7-10,R$8-10,R$8-10,R$9-12,R$10-14,R$13-17,R$9-12,R$10-13,R$6-8,R$8-10,R$10-13,R$8-11,R$12-16,R$20-26,R$10-13,R$9-12,R$6-8,R$7-10,R$8-11,R$12-16,R$7-10,R$7-9,R$9-12,R$10-13,R$9-13,R$8-11,R$6-9,,R$7-9,R$7-10,R$7-9,R$8-11,R$8-11,R$8-11,R$9-12,R$11-14,R$9-12,R$6-9,R$8-11,R$12-15,R$9-13,R$7-9,R$10-13,R$11-14,R$7-10,R$7-9,R$7-9,R$11-15,R$10-14,R$7-10,R$6-8,R$6-8,R$6-9,R$6-8,R$8-10,R$15-19,R$10-14,R$6-9,R$6-9,R$16-20,R$9-12,R$8-11,R$12-16,R$12-16,R$13-17,R$6-8,R$15-19
Novo Horizonte,R$13-17,R$6-9,R$13-17,R$14-18,R$11-14,R$12-16,R$15-19,R$13-18,R$17-22,R$12-16,R$17-22,R$13-17,R$17-22,R$11-15,R$14-18,R$21-26,R$19-24,R$20-25,R$13-16,R$17-22,R$8-10,R$14-18,R$14-18,R$11-14,R$15-19,R$13-18,R$15-19,R$14-18,R$17-22,R$12-16,R$14-18,R$6-8,R$6-9,R$15-20,R$9-12,R$15-19,R$16-21,R$13-17,R$9-12,R$6-9,R$7-10,R$8-11,R$15-20,R$10-13,R$12-15,R$14-18,R$11-15,R$14-18,R$9-12,R$8-10,R$7-10,,R$10-13,R$9-12,R$8-11,R$9-13,R$10-14,R$10-13,R$8-11,R$17-22,R$8-10,R$12-16,R$14-18,R$9-12,R$6-8,R$13-17,R$12-16,R$9-12,R$9-12,R$9-12,R$13-17,R$12-16,R$6-9,R$7-10,R$8-10,R$13-17,R$8-10,R$8-11,R$21-27,R$12-15,R$8-11,R$8-11,R$26-33,R$9-12,R$9-12,R$17-22,R$17-22,R$17-21,R$8-10,R$21-26
Palmeira Imperial,R$6-8,R$6-9,R$6-8,R$6-9,R$8-11,R$6-8,R$10-14,R$6-8,R$16-21,R$6-9,R$9-12,R$9-13,R$8-11,R$6-8,R$7-10,R$12-16,R$10-14,R$9-12,R$6-9,R$12-16,R$6-8,R$8-11,R$8-11,R$6-9,R$6-9,R$7-10,R$7-10,R$8-11,R$12-16,R$6-8,R$8-11,R$10-13,R$13-18,R$9-13,R$9-12,R$10-14,R$39-49,R$9-12,R$15-20,R$6-9,R$9-12,R$14-19,R$10-14,R$8-11,R$9-12,R$8-11,R$14-18,R$8-11,R$9-12,R$6-8,R$10-13,R$12-16,,R$7-9,R$14-18,R$9-13,R$8-11,R$10-13,R$21-27,R$10-13,R$6-8,R$7-9,R$16-21,R$16-21,R$12-16,R$9-12,R$10-14,R$7-10,R$7-9,R$7-9,R$12-16,R$12-16,R$11-15,R$6-8,R$6-8,R$7-9,R$6-8,R$9-12,R$12-15,R$7-10,R$6-9,R$6-8,R$13-17,R$13-17,R$9-12,R$9-13,R$9-13,R$7-10,R$6-8,R$10-13
Portal Sudoeste,R$6-9,R$6-8,R$6-9,R$9-13,R$8-11,R$6-9,R$10-14,R$7-10,R$12-16,R$6-9,R$9-12,R$9-13,R$9-13,R$6-8,R$7-10,R$14-19,R$10-14,R$9-12,R$7-9,R$11-15,R$6-8,R$8-11,R$8-11,R$6-9,R$6-9,R$7-9,R$7-9,R$8-11,R$11-15,R$6-9,R$7-10,R$8-11,R$12-16,R$8-11,R$8-11,R$10-14,R$31-39,R$9-12,R$14-18,R$6-8,R$8-11,R$9-12,R$10-14,R$7-10,R$7-10,R$8-11,R$11-15,R$8-11,R$8-11,R$6-8,R$8-11,R$9-12,R$6-8,,R$10-13,R$8-11,R$8-11,R$9-12,R$17-22,R$8-11,R$6-8,R$7-9,R$13-17,R$14-19,R$10-14,R$9-12,R$10-13,R$7-10,R$7-9,R$7-9,R$11-14,R$12-16,R$10-13,R$6-8,R$6-8,R$6-9,R$7-9,R$8-10,R$12-15,R$8-11,R$6-8,R$6-8,R$12-16,R$11-14,R$8-11,R$9-13,R$9-13,R$8-11,R$6-8,R$12-15
Presidente Médici,R$12-16,R$6-9,R$13-16,R$14-18,R$12-16,R$11-15,R$13-17,R$12-16,R$11-14,R$12-15,R$15-20,R$12-15,R$16-21,R$11-14,R$12-16,R$19-24,R$16-21,R$14-18,R$12-15,R$18-23,R$7-9,R$13-17,R$13-17,R$10-13,R$10-13,R$14-19,R$11-14,R$13-17,R$18-23,R$11-15,R$14-19,R$6-8,R$7-9,R$13-17,R$8-11,R$13-17,R$19-24,R$12-16,R$8-11,R$6-9,R$7-10,R$8-11,R$14-18,R$9-12,R$7-10,R$11-15,R$10-13,R$12-16,R$9-12,R$7-9,R$7-10,R$7-9,R$8-11,R$8-11,,R$9-13,R$9-13,R$10-13,R$11-14,R$10-14,R$7-10,R$10-13,R$13-17,R$9-12,R$6-8,R$12-15,R$11-14,R$8-11,R$8-11,R$8-11,R$11-15,R$11-15,R$6-9,R$7-9,R$7-9,R$8-11,R$8-11,R$8-10,R$15-20,R$10-14,R$7-10,R$7-10,R$16-21,R$9-12,R$9-12,R$12-16,R$12-16,R$15-20,R$7-9,R$18-24
Quarenta,R$10-13,R$6-8,R$9-13,R$11-14,R$9-12,R$8-11,R$10-14,R$9-12,R$10-14,R$8-11,R$10-13,R$9-13,R$11-14,R$7-9,R$8-11,R$16-21,R$12-16,R$10-13,R$8-11,R$12-16,R$6-8,R$8-11,R$8-11,R$7-9,R$7-9,R$8-10,R$7-10,R$9-12,R$12-16,R$7-10,R$8-11,R$6-9,R$10-13,R$9-13,R$8-11,R$10-14,R$25-31,R$9-12,R$10-14,R$6-8,R$7-10,R$9-12,R$10-14,R$7-10,R$7-10,R$9-12,R$10-13,R$9-12,R$8-11,R$6-8,R$7-10,R$8-10,R$6-9,R$7-9,R$9-12,,R$8-11,R$9-12,R$13-17,R$9-12,R$6-8,R$8-10,R$12-15,R$11-15,R$8-11,R$9-12,R$10-13,R$7-10,R$7-9,R$7-9,R$9-13,R$10-13,R$8-11,R$6-8,R$6-8,R$6-9,R$7-9,R$7-9,R$12-16,R$9-13,R$6-8,R$6-8,R$13-17,R$9-12,R$8-11,R$10-13,R$11-14,R$10-14,R$6-8,R$13-17
Ressurreição ,R$6-9,R$6-8,R$6-9,R$9-13,R$8-11,R$7-9,R$10-14,R$7-10,R$12-16,R$6-9,R$9-12,R$9-13,R$9-13,R$6-8,R$7-10,R$14-19,R$10-14,R$9-12,R$7-9,R$11-15,R$6-8,R$8-11,R$8-11,R$6-9,R$6-9,R$7-9,R$6-9,R$8-11,R$11-15,R$6-9,R$7-10,R$8-11,R$12-16,R$8-11,R$8-11,R$10-14,R$31-39,R$9-12,R$14-18,R$6-8,R$8-11,R$9-13,R$11-15,R$7-10,R$7-10,R$8-11,R$11-15,R$9-12,R$8-11,R$6-8,R$8-11,R$9-12,R$6-8,R$7-9,R$10-13,R$8-11,,R$9-12,R$17-22,R$8-11,R$6-8,R$7-9,R$12-15,R$14-19,R$10-14,R$9-12,R$10-13,R$7-10,R$7-9,R$7-9,R$11-14,R$10-13,R$10-13,R$6-8,R$6-8,R$6-9,R$7-9,R$8-10,R$12-15,R$8-11,R$6-8,R$6-8,R$12-16,R$11-14,R$8-11,R$9-12,R$10-14,R$8-11,R$6-8,R$12-15
Rocha Cavalcante,R$10-13,R$6-8,R$10-13,R$11-14,R$9-12,R$9-13,R$10-14,R$10-14,R$13-17,R$9-12,R$12-16,R$9-13,R$11-15,R$7-10,R$9-12,R$19-24,R$12-16,R$10-13,R$8-11,R$12-16,R$6-8,R$8-11,R$8-11,R$7-9,R$6-9,R$6-9,R$8-10,R$9-12,R$12-16,R$7-10,R$8-11,R$6-9,R$10-13,R$8-11,R$8-11,R$10-14,R$24-31,R$9-12,R$10-14,R$6-8,R$7-10,R$8-11,R$11-15,R$7-10,R$6-9,R$9-12,R$10-13,R$9-12,R$8-11,R$6-8,R$7-10,R$8-10,R$6-9,R$7-9,R$9-12,R$8-11,R$8-11,,R$8-11,R$8-11,R$6-8,R$8-10,R$12-15,R$14-18,R$8-11,R$10-13,R$11-15,R$7-10,R$7-9,R$7-9,R$11-14,R$11-15,R$10-13,R$6-8,R$6-8,R$6-8,R$7-9,R$8-11,R$16-20,R$11-14,R$6-9,R$6-8,R$16-21,R$9-12,R$8-11,R$12-16,R$13-18,R$13-17,R$6-8,R$16-21
Rosa Cruz,R$6-9,R$7-10,R$6-9,R$7-10,R$8-11,R$6-8,R$10-14,R$6-8,R$15-20,R$7-9,R$9-12,R$9-13,R$9-13,R$6-8,R$7-10,R$11-15,R$10-14,R$11-15,R$8-10,R$13-18,R$6-8,R$9-12,R$9-12,R$7-10,R$8-10,R$9-13,R$8-11,R$10-13,R$13-17,R$8-11,R$10-14,R$11-15,R$15-19,R$11-14,R$11-15,R$10-14,R$44-55,R$9-12,R$15-20,R$8-10,R$13-17,R$17-22,R$11-15,R$9-11,R$10-14,R$8-11,R$15-20,R$10-13,R$9-12,R$6-8,R$13-17,R$12-16,R$6-8,R$7-9,R$16-20,R$10-13,R$8-11,R$11-15,,R$11-14,R$6-9,R$7-9,R$18-23,R$16-20,R$15-19,R$9-12,R$10-13,R$7-10,R$7-9,R$7-9,R$11-14,R$13-18,R$11-15,R$6-8,R$6-8,R$8-10,R$7-9,R$9-12,R$10-14,R$6-9,R$6-9,R$6-8,R$11-14,R$17-22,R$11-15,R$8-11,R$9-12,R$7-10,R$6-8,R$10-13
Sandra Cavalcante,R$8-11,R$6-9,R$8-11,R$10-13,R$10-14,R$11-15,R$13-17,R$12-15,R$30-38,R$7-10,R$15-20,R$11-14,R$10-13,R$9-13,R$13-17,R$24-31,R$15-19,R$9-12,R$7-10,R$9-12,R$6-9,R$8-11,R$8-11,R$6-9,R$6-9,R$6-8,R$6-9,R$8-10,R$9-12,R$8-11,R$6-8,R$13-17,R$13-17,R$8-11,R$11-14,R$12-16,R$36-46,R$10-14,R$18-23,R$7-9,R$9-13,R$9-12,R$13-17,R$7-10,R$6-8,R$14-18,R$11-15,R$9-12,R$9-12,R$6-9,R$9-13,R$13-17,R$8-11,R$8-10,R$19-24,R$10-13,R$10-13,R$10-13,R$10-13,,R$6-9,R$10-13,R$12-15,R$19-24,R$10-14,R$15-19,R$18-23,R$10-13,R$8-11,R$8-10,R$18-23,R$15-20,R$14-18,R$6-9,R$6-9,R$6-8,R$8-10,R$13-17,R$20-26,R$13-17,R$10-13,R$7-9,R$21-27,R$13-17,R$11-15,R$16-21,R$17-22,R$14-18,R$6-9,R$20-26
São José,R$6-9,R$6-8,R$6-9,R$9-13,R$8-11,R$7-9,R$10-14,R$7-10,R$12-16,R$7-9,R$10-13,R$9-13,R$9-13,R$6-9,R$7-10,R$18-23,R$10-14,R$8-11,R$7-10,R$11-14,R$6-8,R$8-11,R$8-11,R$6-9,R$6-9,R$6-9,R$6-9,R$8-10,R$11-14,R$8-11,R$7-10,R$8-11,R$11-14,R$8-11,R$8-11,R$10-14,R$30-38,R$9-12,R$12-16,R$6-8,R$7-10,R$9-12,R$11-15,R$7-10,R$7-9,R$8-11,R$11-15,R$8-11,R$8-11,R$6-8,R$7-10,R$7-10,R$6-8,R$7-9,R$9-12,R$8-11,R$8-11,R$9-12,R$15-19,R$8-11,,R$7-9,R$12-15,R$14-18,R$10-13,R$9-12,R$10-13,R$7-10,R$7-9,R$7-9,R$11-15,R$10-13,R$10-13,R$6-8,R$6-8,R$6-8,R$7-9,R$8-10,R$15-19,R$10-13,R$6-8,R$6-8,R$13-17,R$10-14,R$8-11,R$11-15,R$13-17,R$8-11,R$6-8,R$14-18
Serra da Borborema,R$6-9,R$6-9,R$6-9,R$7-10,R$8-11,R$6-8,R$10-14,R$6-8,R$16-20,R$6-9,R$9-12,R$9-13,R$9-13,R$6-8,R$7-10,R$11-15,R$10-14,R$11-14,R$7-10,R$13-17,R$6-8,R$9-12,R$9-12,R$7-9,R$7-10,R$8-11,R$8-11,R$10-13,R$13-17,R$8-10,R$9-13,R$8-11,R$13-16,R$10-13,R$8-11,R$10-14,R$38-48,R$9-12,R$16-20,R$6-9,R$9-12,R$14-18,R$11-15,R$8-11,R$9-13,R$8-11,R$14-19,R$10-13,R$9-12,R$6-8,R$9-12,R$10-13,R$6-8,R$7-9,R$12-16,R$9-13,R$8-11,R$10-14,R$8-11,R$10-13,R$6-8,,R$16-20,R$16-21,R$18-23,R$9-12,R$10-13,R$7-10,R$7-9,R$7-9,R$11-14,R$11-15,R$11-15,R$6-8,R$6-8,R$7-10,R$7-9,R$9-12,R$11-14,R$6-9,R$6-8,R$6-8,R$11-15,R$12-16,R$9-12,R$8-11,R$9-12,R$7-10,R$6-8,R$10-13
Tambor,R$10-13,R$6-8,R$10-13,R$11-15,R$13-17,R$11-14,R$12-16,R$12-16,R$18-23,R$8-11,R$14-18,R$11-14,R$11-15,R$8-11,R$10-14,R$23-29,R$13-17,R$10-13,R$8-11,R$11-14,R$6-9,R$10-14,R$9-12,R$7-9,R$7-9,R$7-9,R$8-10,R$9-12,R$11-14,R$9-12,R$7-9,R$7-10,R$12-15,R$9-13,R$9-13,R$12-16,R$33-42,R$10-13,R$12-16,R$6-9,R$7-10,R$8-11,R$13-17,R$7-10,R$6-8,R$11-14,R$10-13,R$9-12,R$8-11,R$6-9,R$7-10,R$7-10,R$8-10,R$8-10,R$10-13,R$9-13,R$9-12,R$9-12,R$13-17,R$8-11,R$6-9,R$9-13,,R$17-22,R$11-14,R$12-16,R$16-20,R$8-11,R$8-10,R$8-10,R$15-19,R$13-17,R$13-17,R$6-9,R$6-9,R$6-8,R$8-10,R$11-15,R$19-24,R$13-17,R$8-10,R$6-9,R$20-26,R$10-13,R$9-12,R$15-20,R$17-22,R$13-17,R$6-9,R$20-26
Três Irmãs,R$14-18,R$10-13,R$14-18,R$16-21,R$17-22,R$14-18,R$20-26,R$14-19,R$10-13,R$18-23,R$19-25,R$18-23,R$21-26,R$13-16,R$15-19,R$20-25,R$19-24,R$20-26,R$18-23,R$18-23,R$11-14,R$25-32,R$21-26,R$16-21,R$15-20,R$14-19,R$16-20,R$19-25,R$18-23,R$20-26,R$14-19,R$6-9,R$6-9,R$21-27,R$12-15,R$20-26,R$19-24,R$17-22,R$8-11,R$9-12,R$10-13,R$11-14,R$21-27,R$15-19,R$12-16,R$15-19,R$17-22,R$22-28,R$13-17,R$11-14,R$9-12,R$6-9,R$11-15,R$12-16,R$9-12,R$12-16,R$15-19,R$15-19,R$9-12,R$18-23,R$11-14,R$13-17,R$25-32,,R$8-10,R$16-21,R$12-15,R$12-15,R$13-17,R$13-17,R$12-15,R$11-15,R$6-8,R$11-14,R$11-14,R$14-18,R$13-17,R$8-10,R$15-20,R$11-15,R$10-13,R$11-14,R$18-23,R$11-14,R$10-14,R$12-16,R$13-17,R$16-20,R$11-14,R$19-25
Velame,R$16-21,R$8-11,R$17-22,R$17-22,R$22-28,R$17-22,R$20-25,R$18-23,R$17-22,R$15-19,R$25-31,R$18-23,R$22-27,R$14-18,R$20-25,R$27-34,R$20-26,R$17-22,R$14-19,R$15-19,R$10-14,R$20-26,R$17-21,R$13-17,R$12-16,R$11-15,R$13-17,R$16-21,R$15-19,R$17-21,R$11-15,R$6-9,R$6-8,R$17-22,R$12-16,R$19-25,R$16-21,R$17-22,R$9-12,R$8-11,R$8-11,R$10-14,R$21-27,R$14-19,R$8-11,R$17-21,R$13-17,R$17-22,R$11-15,R$10-14,R$8-11,R$6-8,R$13-17,R$12-16,R$9-12,R$12-15,R$14-18,R$13-17,R$10-13,R$13-17,R$10-14,R$15-19,R$16-21,R$9-12,,R$18-23,R$18-24,R$12-16,R$12-16,R$12-16,R$19-25,R$19-24,R$6-9,R$10-14,R$10-14,R$10-14,R$12-16,R$12-16,R$21-27,R$15-20,R$11-15,R$11-14,R$26-32,R$10-13,R$14-18,R$17-22,R$19-24,R$19-25,R$10-14,R$25-32
Bela Vista,R$7-9,R$6-9,R$6-9,R$8-11,R$8-11,R$6-8,R$10-14,R$6-9,R$13-16,R$7-10,R$9-12,R$9-13,R$9-13,R$6-8,R$7-10,R$11-15,R$9-13,R$11-15,R$7-10,R$13-17,R$6-8,R$11-14,R$9-12,R$7-9,R$7-10,R$9-13,R$8-11,R$10-13,R$13-17,R$8-10,R$10-13,R$8-11,R$12-16,R$10-13,R$8-11,R$10-14,R$35-44,R$9-12,R$14-18,R$6-8,R$8-11,R$11-15,R$11-15,R$8-11,R$10-13,R$8-11,R$13-17,R$10-13,R$9-12,R$6-8,R$8-11,R$8-11,R$6-8,R$7-9,R$11-14,R$8-11,R$8-11,R$10-13,R$8-11,R$10-14,R$6-8,R$7-9,R$16-21,R$14-18,R$16-21,,R$9-12,R$7-10,R$7-9,R$7-9,R$9-13,R$11-15,R$10-13,R$6-8,R$6-8,R$7-10,R$7-9,R$8-10,R$9-13,R$6-9,R$6-8,R$6-8,R$11-14,R$11-14,R$9-12,R$8-10,R$8-11,R$7-10,R$6-8,R$10-13
Bodocongó,R$10-14,R$7-10,R$11-14,R$12-16,R$13-17,R$9-12,R$14-19,R$10-13,R$9-13,R$11-15,R$11-14,R$13-17,R$15-20,R$8-11,R$8-11,R$10-13,R$12-16,R$15-19,R$12-15,R$15-20,R$8-10,R$16-21,R$13-17,R$10-14,R$10-14,R$12-15,R$11-14,R$14-18,R$15-20,R$12-16,R$12-16,R$7-10,R$13-17,R$14-18,R$9-13,R$13-17,R$36-45,R$11-15,R$10-14,R$6-9,R$9-13,R$15-19,R$13-17,R$10-13,R$12-16,R$9-12,R$17-21,R$14-19,R$10-13,R$8-11,R$9-12,R$8-11,R$7-10,R$9-13,R$10-13,R$9-13,R$10-14,R$11-15,R$13-17,R$14-18,R$7-10,R$8-10,R$20-26,R$11-14,R$14-19,R$10-13,,R$8-11,R$8-11,R$8-11,R$9-13,R$10-13,R$8-10,R$7-10,R$7-10,R$10-14,R$9-12,R$7-9,R$8-11,R$6-8,R$6-8,R$7-9,R$9-13,R$12-15,R$8-11,R$7-9,R$7-10,R$9-12,R$7-10,R$11-15
Centenário,R$7-10,R$6-8,R$7-10,R$10-14,R$9-12,R$7-10,R$10-14,R$8-11,R$11-14,R$8-11,R$10-13,R$9-13,R$11-14,R$6-9,R$7-10,R$14-18,R$9-13,R$10-13,R$8-11,R$12-16,R$6-8,R$10-13,R$8-11,R$6-9,R$7-9,R$8-10,R$7-10,R$9-12,R$12-16,R$9-12,R$8-11,R$6-9,R$11-14,R$9-13,R$8-11,R$10-14,R$31-39,R$9-12,R$11-14,R$6-8,R$7-10,R$9-12,R$11-15,R$7-10,R$8-11,R$8-11,R$11-15,R$9-12,R$8-11,R$6-8,R$7-10,R$7-9,R$6-8,R$7-9,R$9-12,R$8-11,R$8-11,R$9-12,R$17-21,R$9-12,R$6-8,R$7-9,R$13-17,R$11-14,R$10-13,R$9-12,R$9-12,,R$7-9,R$7-9,R$11-14,R$10-13,R$8-11,R$6-8,R$6-8,R$6-9,R$7-9,R$7-9,R$11-15,R$8-10,R$6-8,R$6-8,R$12-16,R$9-12,R$8-11,R$9-12,R$10-13,R$9-13,R$6-8,R$12-15
Conjunto Chico Mendes,R$6-9,R$6-8,R$6-9,R$9-13,R$8-11,R$6-9,R$10-14,R$7-10,R$13-17,R$6-9,R$9-12,R$9-13,R$6-9,R$6-8,R$7-10,R$14-19,R$9-13,R$9-12,R$7-9,R$11-15,R$6-8,R$10-13,R$8-11,R$6-9,R$6-9,R$7-10,R$7-9,R$8-10,R$11-15,R$8-10,R$7-10,R$8-11,R$12-16,R$8-11,R$8-11,R$10-14,R$31-39,R$9-12,R$14-18,R$6-8,R$8-11,R$9-12,R$11-15,R$7-10,R$7-10,R$8-11,R$11-15,R$9-12,R$8-11,R$6-8,R$8-11,R$8-10,R$6-8,R$7-9,R$10-13,R$8-11,R$8-11,R$9-12,R$8-11,R$8-11,R$6-8,R$7-9,R$13-17,R$14-18,R$12-16,R$9-12,R$10-13,R$7-10,,R$7-9,R$11-14,R$10-13,R$10-13,R$6-8,R$6-8,R$6-9,R$7-9,R$8-10,R$12-16,R$8-11,R$6-8,R$6-8,R$12-16,R$10-14,R$9-12,R$9-12,R$10-14,R$8-11,R$6-8,R$12-15
Conjunto Mariz,R$6-9,R$6-8,R$6-9,R$9-13,R$8-11,R$6-9,R$10-14,R$7-10,R$13-17,R$6-9,R$9-12,R$9-13,R$6-9,R$6-8,R$7-10,R$14-19,R$9-13,R$9-12,R$7-9,R$11-15,R$6-8,R$10-13,R$8-11,R$6-9,R$6-9,R$7-9,R$6-9,R$8-11,R$11-15,R$8-10,R$7-10,R$8-11,R$12-16,R$8-11,R$8-11,R$10-14,R$31-39,R$9-12,R$14-18,R$6-8,R$8-11,R$9-13,R$11-15,R$7-10,R$7-10,R$8-11,R$11-15,R$9-12,R$8-11,R$6-8,R$8-11,R$8-10,R$6-8,R$7-9,R$10-13,R$8-11,R$8-11,R$9-12,R$569-696,R$8-11,R$6-8,R$7-9,R$13-17,R$14-19,R$12-16,R$9-12,R$10-13,R$7-10,R$7-9,,R$11-14,R$11-15,R$10-13,R$6-8,R$6-8,R$6-9,R$7-9,R$8-10,R$12-16,R$8-11,R$6-8,R$6-8,R$12-16,R$10-14,R$9-12,R$9-12,R$10-13,R$8-11,R$6-8,R$12-16
